,0,1,2,3,4,5,6,7,8,9
0,shooting,people,”,said,school,year,jewish,police,community,old
1,people,gun,school,shooting,”,students,said,guns,shootings,think
2,students,div,”,school,said,gun,class,high,march,walkout
3,”,said,team,shooting,year,gun,“i,school,new,people
4,gun,guns,people,control,mass,”,laws,shooting,weapons,mental
5,gun,guns,people,”,violence,control,shootings,laws,school,states
6,”,said,gun,school,students,people,violence,student,“i,shooting
7,said,”,police,shooting,students,gun,according,m,school,people
8,school,shooting,”,students,people,said,police,gun,according,new
9,”,game,said,team,points,shooting,half,season,3,eastern
